Pavadinimas,Nuotraukos URL,Kategorijos
"['Rusija pirmą kartą atakavo Ukrainą tarpžemynine balistine raketa ', ' (8) ']",['https://media.lrytas.lt/images/2024/11/21/084521584-d9cf765d-04a4-44eb-a068-bd0202909d50.jpg'],['Pasaulis']
"['Tarptautinis Baudžiamasis Teismas išdavė Izraelio premjero B. Netanyahu arešto orderį ', ' (10) ']",['https://media.lrytas.lt/images/2024/11/21/122514747-008ba929-f072-43d6-9e52-96fc09d3cd87.jpg'],['Pasaulis']
['Kuriozas tiesioginiame eteryje: M. Zacharovai telefonu paliepta tylėti dėl balistinės raketos '],['https://media.lrytas.lt/images/2024/11/21/121206471-7e86302b-d0ee-4f68-9699-04b652c31332.jpg'],['Pasaulis']
"['Kursko regione – siaubinga į apsiaustį patekusių Ukrainos karių egzekucija ', ' (5) ']",[],['Pasaulis']
['Analitikai prabilo apie ATACMS ir „Storm Shadow“ raketų smūgius Rusijai: tai pakeis karo pobūdį '],['https://media.lrytas.lt/images/2024/11/21/073031662-d2f98afe-0974-470f-af8f-17e7dbdbc241.jpg'],['Pasaulis']
"['Buvusi Vokietijos kanclerė A. Merkel siekė atidėti Ukrainos narystę NATO ', ' (1) ']",['https://media.lrytas.lt/images/2024/11/21/101008658-10173824-bd0d-41ac-a281-c3ea657a0a5a.jpg'],['Pasaulis']
"['JAV policija suėmė vyrą, įtariamą planavus išpuolį prieš Niujorko vertybinių popierių biržą ']",['https://media.lrytas.lt/images/2024/11/21/060505739-806a9467-eb8a-4ad3-b14f-74c7ab40e4f3.jpg'],['Pasaulis']
"['Po beribio Rusijos eskalavimo – trūkusi kantrybė: kas lėmė ilgai lauktą Vakarų sprendimą ', ' (5) ']",['https://media.lrytas.lt/images/2024/11/20/131245005-d1331503-b407-4346-a20e-aa099f3a11b1.jpg'],['Pasaulis']
"['Lenkijos prezidentas teigia žinantis, ko O. Scholzas iš tiesų siekė skambindamas V. Putinui: pažėrė kritikos ', ' (1) ']",['https://media.lrytas.lt/images/2024/11/20/132633106-f8306aa6-d2a2-4d46-9da2-2b02ab045915.jpg'],['Pasaulis']
"['Žiniasklaida: V. Putinas yra pasirengęs kalbėti su D. Trumpu apie paliaubas Ukrainoje ', ' (2) ']",['https://media.lrytas.lt/images/2024/11/20/153653034-4fad4f08-75b9-4da3-bcb7-df0190de0852.jpg'],['Pasaulis']
['„Twinsbet“ arena trankiai atšventė 20-ąjį jubiliejų: šimtai kviestinių svečių ir žvaigždžių šėlionės '],['https://media.lrytas.lt/images/2024/11/21/134454284-5c32bf3f-329b-4cc0-ad71-cb394de6974a.jpg'],['Žmonės']
['Universiteto gimtadienyje – būrys žinomų veidų ir prezidentės D. Grybauskaitės sveikinimas '],['https://media.lrytas.lt/images/2024/11/21/125424037-7f6e09f7-1c76-4407-aaf4-38ebc8349896.jpg'],['Žmonės']
"['„Patrulis“ Algirdas Radzevičius pakurstė kalbas apie skyrybas: sureagavo ir žmona ', ' (1) ']",['https://media.lrytas.lt/images/2024/11/21/120408650-13bfb78c-fa11-49c1-9f57-862ea1ddb106.jpg'],['Žmonės']
"['Išskirtiniame vakarėlyje Kaune – būrys žinomų žmonių: atskleidė, kokių dovanų tikisi per Kalėdas ']",['https://media.lrytas.lt/images/2024/11/21/073442368-19e5181a-b125-4adf-90ac-76841672e21e.jpg'],['Žmonės']
"['A. Chošnau atvėrė širdį apie vaikus: „Norisi, kad jie pasinaudotų galimybėmis, kurių neturėjau aš“ ']",['https://media.lrytas.lt/images/2024/11/21/112821655-5cdc0813-d062-4ecf-8aa4-6718a24bc9b4.jpg'],['Žmonės']
['Iš išskirtinio turo grįžusi grupė „The Roop“ neslėpė emocijų: sujaudino gerbėjos iš Australijos poelgis '],['https://media.lrytas.lt/images/2024/11/21/140842233-780f4615-97ae-4baa-9e5e-fa9c1b5a6b2e.jpg'],['Žmonės']
"['Laurynas Suodaitis – apie didelę nepagarbą: „Geriau dažniau, bet mažiau“ ']",['https://media.lrytas.lt/images/2024/11/21/101755242-bc3fc49e-f2fe-4d8a-9e11-f2b5838fdd88.jpg'],['Žmonės']
['Vaizdo klipe apie nepotizmą nusifilmavusios garsenybės: „Darbus nudirba ne santykiai“ '],['https://media.lrytas.lt/images/2024/11/21/144257638-11459ce6-c3f9-4bd7-8684-efd16c6af54c.jpg'],['Žmonės']
['Nekenčiamiausias visų laikų personažas Džofris iš „Sostų karų“ atvyksta į Vilnių '],['https://media.lrytas.lt/images/2024/11/21/122624704-b31bcac1-7023-4f48-b7c1-bec87c9e5fbe.jpg'],['Žmonės']
"['Skyrybų proga Oksana Pikul įteikė sau prabangią dovaną: komentatoriai nevengė pašmaikštauti   ', ' (7) ']",['https://media.lrytas.lt/images/2024/11/20/144042641-33ec410f-e031-4493-a9cb-5bb0fe443916.jpg'],['Žmonės']
"['Vakare vartotės lovoje? Vaistininkė pasakė, kas slopina miego hormono gamybą ']",['https://media.lrytas.lt/images/2024/11/20/065929611-d7a59f44-b21d-4158-8fcf-1d32bd6f7074.jpg'],['Sveikata']
['SAM skelbia pokyčius dėl vėžio patikros: svarbu moterims nuo 45-erių '],['https://media.lrytas.lt/images/2024/11/21/110604226-6a8a6fdc-c639-4f3f-b938-d83c9eb47e48.jpg'],['Sveikata']
"['Neurologas J. Fišas pasakė, kaip pagerinti smegenų kraujotaką: ypač svarbūs šie vitaminai ']",['https://media.lrytas.lt/images/2024/11/14/143218881-5e299623-398a-4dd8-be68-a0fdf4ef4ff0.jpg'],['Sveikata']
['Burnos priežiūra nėštumo metu: kas keičiasi ir kokios ligos puola labiau '],['https://media.lrytas.lt/images/2024/11/21/124644345-47c4ddaa-64ba-4ccc-8473-1edaf3c98ce5.jpg'],['Sveikata']
['Kiekvienas komponentas atlieka lemiamą vaidmenį '],['https://media.lrytas.lt/images/2024/11/20/150148167-1d270095-feb8-4b8f-9a0f-db54e011b52a.jpg'],['Sveikata']
['Vos 6 mėn. švelnus ir žaismingas kačiukas – paženklintas visam gyvenimui: ieško supratingos širdies '],['https://media.lrytas.lt/images/2024/11/18/091422176-4b5f181a-89a6-478e-83d1-f5b691a9fa6f.jpg'],['Augintinis']
['Kada geriau vedžioti šunį – ryte ar vakare? Galutinis kinologų atsakymas '],['https://media.lrytas.lt/images/2024/11/20/075825508-734c7b2f-a013-4282-acb0-47f785e7da97.jpg'],['Augintinis']
['Tarp šių žmonių kapinių – augintinių kapai su prabangiais paminklais: „Nieko panašaus niekur neteko matyti“ '],['https://media.lrytas.lt/images/2024/11/18/101328268-b76557ac-5677-4609-82d7-fa57e44332e8.jpg'],['Augintinis']
['Atskleidė neįprastą karalienės Elžbietos II būdą sutramdyti korgius '],['https://media.lrytas.lt/images/2024/11/18/143704305-131db7b8-c367-40df-bedd-25a34a77f549.jpg'],['Augintinis']
"['Naujas tyrimas atskleidė, ar mišrūnai yra sveikesni už grynaveislius šunis ']",['https://media.lrytas.lt/images/2024/09/16/080228987-3716e7ab-06fd-464b-a37a-e15b6b01abaa.jpg'],['Augintinis']
"['SBA „Vėjo miesteliui“ – dar 1,8 mln. eurų: sėkmingai išplatinta antroji obligacijų emisijos dalis ']",['https://media.lrytas.lt/images/2024/11/21/122737564-71badfd9-09bb-447c-96c8-dd80e0cf8288.jpg'],['Būstas']
['Parduodantys savo būstą labiausiai bijo vieno proceso: kiek jis užtrunka ir kodėl verta atsipalaiduoti  '],['https://media.lrytas.lt/images/2024/11/21/120955286-30e8ead9-a602-44f2-ad8a-22600ef7f1c8.jpg'],['Būstas']
['Pirmą kartą įžengus į šį būstą apėmė liudesys – dabar tai ramybe ir medžiu kvepiantys namai '],['https://media.lrytas.lt/images/2024/11/21/124729769-cebdf94c-83ad-445d-86e9-20e7a4b9e099.jpg'],['Būstas']
"['Paaiškino, kodėl išmanieji sprendimai – neišvengiami, ir kodėl pirmiausia juos būtina išbandyti ']",['https://media.lrytas.lt/images/2024/11/21/132012069-47791bc5-5213-4912-af8a-985ef92c6af8.jpg'],['Būstas']
['Beveik trečdalis kauniečių planuoja įsigyti būstą: kas svarbiausia renkantis namus? '],['https://media.lrytas.lt/images/2024/11/21/125444286-c6e90f82-f961-4339-9d81-c04cadbd6798.jpg'],['Būstas']
