id,Pavadinimas,Nuotraukos URL,Kategorijos
75,Rusijos atletas nesėkmingai bandė susigrąžinti olimpinių žaidynių medalius,https://media.lrytas.lt/images/2024/11/26/151523825-2ff2fca7-7b62-4f29-a61c-3b8934e2432e.jpg,Sportas
76,K. Jakučionis sužaidė rekordinį mačą NCAA,https://media.lrytas.lt/images/2024/11/26/053914921-73d1c2e2-3b8a-4163-a61a-3559a5be3014.jpg,Sportas
77,"Makedonų vairininko iškalbingi žodžiai pasiekė Lietuvos rinktinės ausis: „Nežinau, ką jis galvoja“",https://media.lrytas.lt/images/2024/11/25/083750134-2e945351-42a7-4ff0-a03b-7facbf5a07b7.jpg,Sportas
78,Iš JAV – žinia dėl DHL lėktuvo katastrofos Vilniuje: kas atvyksta ir koks tikslas,https://media.lrytas.lt/images/2024/11/26/093135080-a2c2e3b1-0e69-4713-86f9-70d74e46d7f9.jpg,Pasaulis
79,Dėl lėktuvo katastrofos Vilniuje – signalas iš Vokietijos: blogiausios versijos neatmeta ir O. Scholzas,https://media.lrytas.lt/images/2024/11/26/101026965-a47dbf09-8fb7-41d0-a90e-731228b74850.jpg,Pasaulis
80,Mirė 112 metų sulaukęs seniausias pasaulio žmogus,https://media.lrytas.lt/images/2024/11/26/105417490-37770e6e-ca7b-4b04-a8c1-971e095aefeb.jpg,Pasaulis
81,"Retame interviu – šokiruojanti pozicija: A. Merkel pasakė, ką mano apie Rusiją ir Ukrainą",https://media.lrytas.lt/images/2024/11/25/155053429-b118eb17-814f-452f-a8db-7317aa4eb786.jpg,Pasaulis
82,Vilniuje sudužus DHL lėktuvui – Vokietijos žiniasklaidos reakcijos: priminė skelbtą perspėjimą,https://media.lrytas.lt/images/2024/11/25/081046574-ec1bc379-1bd9-4205-97d1-b6fc8989c4e0.jpg,Pasaulis
83,Irano generalinio štabo vadas: Izraelis peržengė raudonas linijas,https://media.lrytas.lt/images/2024/11/26/114256124-8490262c-d17a-4583-ac9e-eb555705605a.jpg,Pasaulis
84,JAV prokurorai nutraukė svarbiausias D. Trumpui iškeltas baudžiamąsias bylas,https://media.lrytas.lt/images/2024/11/26/063327698-870391b1-6a12-4f6f-bbe1-4104d09081d0.jpg,Pasaulis
85,JAV prezidentas J. Bidenas dalyvaus savo įpėdinio D. Trumpo inauguracijoje,https://media.lrytas.lt/images/2024/11/26/060558792-56d16c87-7573-48e2-b7ab-2deacdfa854b.jpg,Pasaulis
86,O. Scholzas pokalbį telefonu su V. Putinu pavadino „būtinu“,https://media.lrytas.lt/images/2024/11/26/073552531-9df93423-d3ca-4fb3-b71c-c8eb6a53b37e.jpg,Pasaulis
87,Per paskutinę malonės kalakutams suteikimo ceremoniją J. Bidenas pasiuntė žinią amerikiečiams: „Išlikite ramūs ir toliau burbuliuokite“,https://media.lrytas.lt/images/2024/11/25/213622759-a08556e6-5a06-45d7-94a8-264d7567dc39.jpg,Pasaulis
88,Per gimtadienį A. Užkalnis prakalbo apie antrą pusę: „Sutinku nebe vienas“,https://media.lrytas.lt/images/2024/11/26/123722768-81d9d91e-d430-4952-aee1-3a6f731a8733.jpg,Žmonės
89,J. Pečeliūnas tradiciškai išsakė nuomonę apie Kauno žaliaskarę: „Tikiuosi ir šiemet snukin negauti“,https://media.lrytas.lt/images/2024/11/26/154437711-d9e6b47c-1f5f-4a2f-8a67-1ad89f655b06.jpg,Žmonės
90,Paskutinio koncerto metu Adele ašarų jūra: pranešė širdį veriančią žinią,https://media.lrytas.lt/images/2024/11/26/143220911-8f6e398a-6e68-4ac8-a052-a890ae28aa46.jpg,Žmonės
91,Šaro Jasikevičiaus ir jo šeimos albume – dar viena fantastiška kelionė: Anna Douka žavi savo stiliumi,https://media.lrytas.lt/images/2024/11/25/142328446-7ed66ab9-5fed-4881-8b65-d4d0e62e08cd.jpg,Žmonės
92,"Stulbinantis dviejų LNK vedėjų panašumas: „Tau duodamas prizą, įteikinėsiu jį kaip sau“",https://media.lrytas.lt/images/2024/11/26/135148399-c32315b7-5a25-4546-9b21-97f8e03c4c08.jpg,Žmonės
93,"M. Jankavičius projekte liko vienas: „Mėgstu, kai gyvenime viskas pavyksta iš pirmo karto“",https://media.lrytas.lt/images/2024/11/26/085823478-3fd76068-33bc-4618-a0ec-a5b98c65afd4.jpg,Žmonės
94,Lietuvė Simona nesibodi sėdėti prie vieno stalo su Dubajaus šeichu,https://media.lrytas.lt/images/2024/11/26/141906617-4b26b8af-4662-4d13-92a8-ef9efc25e962.jpg,Žmonės
95,F. M. Leščiauskaitė pažėrė kritikos Lietuvos restoranų savininkams: „Iš mūsų tyčiojasi“,https://media.lrytas.lt/images/2024/11/26/091923965-e1e80177-9019-4f8c-b1aa-7753a96dd8ee.jpg,Žmonės
96,Pirmą kartą su sūnumi Adomu į sceną žengsiantis O. Vyšniauskas: „Didžiuojuosi šia galimybe“,https://media.lrytas.lt/images/2024/11/26/093921652-6c6a4fb4-67d7-4142-86a9-e0d77a7d0db3.jpg,Žmonės
97,Angelina Jolie buvo sau pasamdžiusi žudiką: atskleidė priežastį,https://media.lrytas.lt/images/2024/07/29/114034980-8eb59582-17a0-4952-bb3e-47ee0ec2d460.jpg,Žmonės
98,"Kardiologė: dusulys išduoda ligą, kurios negydant vystosi širdies nepakankamums, trumpėja gyvenimas",https://media.lrytas.lt/images/2024/11/26/073847879-996ca5ea-6bad-42e6-b59d-311c993250d8.jpg,Sveikata
99,Brenda iš skolų liūno? Klaipėdos universiteto ligoninė pasigyrė uždirbusi pelno,https://media.lrytas.lt/images/2024/11/26/111542567-29da766a-8dda-4f5b-a880-a6dab3b12aff.jpg,Sveikata
100,Netikėta žinia medikams sukėlė šoką: pacientai aimanuos eilėje dėl svarbių tyrimų,https://media.lrytas.lt/images/2024/11/26/161158442-73b0c46f-a6f1-4928-a9e8-7f078a14d49a.jpg,Sveikata
101,"Skambina pavojaus varpais: didės eilės, paslaugos bus sunkiai pasiekiamos, o gydytojai gali netekti ir darbo",https://media.lrytas.lt/images/2024/11/26/112938908-7f1f90ad-c66f-4641-82d9-4307831fd12d.jpg,Sveikata
102,Kaune – ypatingas nutikimas: tėtis padovanojo inkstą savo trimečiui sūnui,https://media.lrytas.lt/images/2024/11/26/090450017-07207ed4-eb3c-4cdd-b6fb-b5c21fdd0e38.jpg,Sveikata
103,Triušių parodoje Kaune – daugiau kaip 200 pūkuotų ilgaausių,https://media.lrytas.lt/images/2024/11/26/132337036-c6c99253-bf44-445b-bcb1-2cf8b696fbcf.jpg,Augintinis
104,"Tyrimas atskleidė, kaip kačių elgesys atspindi tikrąją jų šeimininkų asmenybę",https://media.lrytas.lt/images/2024/09/16/063930222-11e5cfb5-b7cb-43e1-8e8a-e5c6185baa13.jpg,Augintinis
105,Paryžiaus oro uoste ieškant pabėgusio šuns buvo uždaryti kilimo ir tūpimo takai,https://media.lrytas.lt/images/2024/11/26/172040881-fe44f342-4103-43c5-a369-f6e6d3fe4b09.jpg,Augintinis
106,"Pietų pertraukas iškeitė į prasmingą iniciatyvą: „Kiekvienas žingsnis buvo laimės trupinėlis tiek mums, tiek jiems“",https://media.lrytas.lt/images/2024/11/25/154421536-7a7a7a23-ca6a-408c-a92b-bac35d148328.jpeg,Augintinis
107,Moderni chirurgija augintiniams – kasdienybe tapo jau ir Lietuvoje,https://media.lrytas.lt/images/2024/11/12/140738793-b5fbff0e-deb4-4ffd-b612-45548d00a948.jpg,Augintinis
108,"Užsukite į privačias terasas Vilniuje: suskaičiavo, kiek kainuoja tokias įsirengti",https://media.lrytas.lt/images/2024/11/26/144739757-4803ba7e-afb8-4819-98fa-edccc2a00c92.jpg,Būstas
109,Labai aiškiai matoma sena ir nauja: šis biuras tai turi savyje,https://media.lrytas.lt/images/2024/10/29/062716570-e59c8453-e218-49b2-91cc-839316507deb.jpg,Būstas
110,"Dekoratorė pasidalijo, kaip 2024 metais madingai papuošti namus: išbandykite šiuos 3 patarimus",https://media.lrytas.lt/images/2024/11/26/132611869-75afe67a-b6cc-4c81-9954-241921fe9cef.jpg,Būstas
111,"4 interjero dizainerės sprendimai, kurie vonios kambarį padarys itin patogų",https://media.lrytas.lt/images/2024/09/24/102817606-d3df1624-fcb9-482c-b671-93a3403eabfb.jpg,Būstas
112,Po aviakatastrofos evakuotais žmonėms bus pasirūpinta: jau ieškoma būstų jiems,https://media.lrytas.lt/images/2024/11/26/091449180-8705af1f-3970-4200-bfe0-5921b13139ed.jpg,Būstas
113,Ketvirtadalį kelio įveikęs A. Mockus prakalbo apie didžiausius iššūkius: „Turėjau gerą pamoką“,https://media.lrytas.lt/images/2024/11/26/134227493-03c89d81-d77c-49ea-8c5c-24231c7511ff.jpg,Gamta
114,"Patikrinę keleivį, pareigūnai liko šokiruoti: iš šalies bandė išsivežti 320 tarantulų",https://media.lrytas.lt/images/2024/11/21/102159586-af64b187-ffbd-4fd5-a67c-3b0954301ec8.jpg,Gamta
115,Kuršių nerijos taršos byloje padėtas taškas: įmonė privalės atlyginti daugiau nei 5 mln. eurų žalą aplinkai,https://media.lrytas.lt/images/2024/11/26/092839202-265f1ae9-e299-4ac9-8c18-6f6fa4eb8073.jpg,Gamta
116,"Po šilto pirmadienio – pokyčiai: šiluma ims trauktis, daug kur numatomas lietus ir šlapios snaigės",https://media.lrytas.lt/images/2024/11/26/034255341-6ff4888c-3a82-4391-b91a-c5e4b14e9e63.jpg,Gamta
117,Tai bent Kalėdos Druskininkuose: stebuklingas švenčių laukimas kurorte,https://media.lrytas.lt/images/2024/11/25/141936735-4fa43ebd-3ecf-4968-a233-97f5cdbd8514.jpg,Gamta
118,"Įžiebta eglė, kokios dar niekas nematė: kaunietė su giminėmis ir kaimynais ją kūrė dvejus metus",https://media.lrytas.lt/images/2024/11/25/123418469-5442a1d6-033f-4837-bfcf-502b8b19c67b.jpg,Bendraukime
119,Radinys prie konteinerio privertė stvertis už galvos: „Turėkim padorumo ir gėdos“,https://media.lrytas.lt/images/2024/11/22/144702388-d9a4e086-97f2-4f19-ae0b-b5adc619f62e.jpg,Bendraukime
120,"Neregės Ievos kelionė tapo košmaru: neįleista į lėktuvą Lietuvą pasiekė po kelių parų, prireikė skubios medikų pagalbos",https://media.lrytas.lt/images/2024/11/26/121559079-a5e2baf0-af06-4c37-b9e5-036ca920c112.jpg,Bendraukime
121,Studentų miestelyje verda aistros – ant automobilio paliktas užrašas stebina praeivius: „Kažkas prisidirbo“,https://media.lrytas.lt/images/2024/11/22/081624766-30a75997-531c-4517-bc48-563e7efeacbe.jpg,Bendraukime
122,Insulto ištikto neįgaliojo šeimą pribloškė tvarka Alytaus ligoninėje: piniginę praverti teko visai giminei,https://media.lrytas.lt/images/2024/11/21/162628103-8836a490-25cb-40f1-ac79-31fec626c42d.jpg,Bendraukime
123,"Astrologė: Mėnulio jaunatis itin palanki šiam ženklui – atneš gerąjį persilaužimą, sėkmę, pripažinimą",https://media.lrytas.lt/images/2024/11/25/092605881-954ae2b8-8f5f-455e-ac9b-543e2143a318.jpg,Gyvenimo būdas
124,Kojos skausmas išdavė klastingą 16-metės ligą: vilniečių gyvenimas apsivertė per vieną dieną,https://media.lrytas.lt/images/2024/11/26/085924072-bff9fd3e-8cbd-44c5-8b83-c17210cb2e0d.jpg,Gyvenimo būdas
125,"3 moterys pagal Zodiako ženklą, kurios nekenčia kitų moterų",https://media.lrytas.lt/images/2024/11/20/150207093-3d9dcfe4-6e8d-4df2-88b2-255d548262c3.jpg,Gyvenimo būdas
126,Palmira: gali tekti ginti savo nuomonę bei teises,https://media.lrytas.lt/images/2024/11/25/143504420-3cb30c48-144a-413e-8aa4-aa558f07a5b8.jpg,Gyvenimo būdas
127,"Palmiros horoskopas antradieniui, lapkričio 26 d.",https://media.lrytas.lt/images/2024/11/25/143814988-8189252e-e2e7-4fd0-b793-0e6a68fec1be.jpg,Gyvenimo būdas
128,Nuo šiol gydytojams to privalu paklausti visų nėščiųjų ir gimdyvių: ši praktika padeda laiku atpažinti rizikingus atvejus,https://media.lrytas.lt/images/2024/11/25/154446542-54f2b292-f78c-4cc4-8546-d333e2de6384.jpg,Tėvams
129,Psichologės patarimas tėvams: kaip ugdyti vaikų savivertę,https://media.lrytas.lt/images/2024/11/25/095247006-2fefb1be-a4cd-4b8a-bfb4-753264c15d3a.jpg,Tėvams
130,Ekranų naudojimas vaikystėje ir paauglystėje: neraminančios tendencijos ir rekomendacijos tėvams,https://media.lrytas.lt/images/2024/11/26/153435000-5121c4ed-5ba3-483f-aef2-9d0a4bca17f1.jpg,Tėvams
131,"Psichoterapeutas D. Jakučionis: atjauta, o ne patarimai – tikras palaikymas šeimoms, auginančioms vaikus su negalia",https://media.lrytas.lt/images/2024/11/22/215131708-69415225-fee7-47e2-ad5b-cceb02efe292.jpg,Tėvams
132,Ginekologinė operacija vilnietei nulėmė skaudžią diagnozę: siunčia svarbią žinutę visoms poroms,https://media.lrytas.lt/images/2024/11/18/111318697-58fb5255-c83a-44a9-9ce5-3b4844224d56.jpg,Tėvams
133,Po žinios apie DHL lėktuvo juodąsias dėžes – paaiškinimas: kas tai yra ir ką jos gali atskleisti,https://media.lrytas.lt/images/2024/11/26/132739814-cd379abf-5aa7-437a-b6e1-3bf078cf00be.jpg,It ir mokslas
134,„Sklandė netrukdomas“: po rusų drono žvalgybos – sunaikintas Ukrainos naikintuvas,https://media.lrytas.lt/images/2024/11/25/130633757-a37a8bd7-d37d-42ed-9533-bdfb540171b0.jpg,It ir mokslas
135,Dirbtinis intelektas moksle: kada nauji atradimai tampa grėsmėmis?,https://media.lrytas.lt/images/2024/11/26/155022054-0fcb3734-b854-42e2-997b-2e040ce05499.jpg,It ir mokslas
136,Aviacijos ekspertas įvertino Vilniuje nukritusio orlaivio modelį ir metus: ar tai galėjo turėti įtakos avarijai?,https://media.lrytas.lt/images/2024/11/26/112046353-cfeb0d71-2644-4915-b23d-79cb75c7d268.jpg,It ir mokslas
137,Kodėl numestas svoris vėl sugrįžta? Mokslas pagaliau turi atsakymą – ir jis nėra džiuginantis,https://media.lrytas.lt/images/2024/11/20/110130475-947b7175-f367-4dd3-8457-45857f3a18cc.jpg,It ir mokslas
